pl_name,hostname,tic_id,period,depth_ppm,duration_hr,stellar_Teff,stellar_logg,stellar_rad,stellar_mass,label,tfop_disposition,discovery_method,facility
GJ 463 b,GJ 463,147670988,3459.00000000000,,,3563.00,,0.483000,0.486000,0,CP,Radial Velocity,Multiple Observatories
K2-391 b,K2-391,9054633,4.62265400000,,,5543.00,4.973000,0.566000,0.757000,0,CP,Transit,K2
Kepler-198 d,Kepler-198,122519154,1.31184443000,,1.7729000,5636.00,4.490000,0.930000,0.970000,0,CP,Transit,Kepler
TOI-1117 b,TOI-1117,295541511,2.22816000000,,,5635.00,4.410000,1.050000,0.970000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
HD 11506 b,HD 11506,266680498,1617.70000000000,,,6123.00,4.390000,,1.220000,0,CP,Radial Velocity,W. M. Keck Observatory
Kepler-1152 b,Kepler-1152,159382189,1.64680190800,,1.2561000,3964.00,4.730000,0.530000,0.550000,0,CP,Transit,Kepler
TOI-3486 b,TOI-3486,221861843,2.21778105000,1.51500000,1.7170000,4930.00,4.569000,0.788000,0.837000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
K2-216 b,K2-216,418761354,2.17480000000,,1.8400000,4503.00,4.570000,0.720000,0.700000,0,CP,Transit,K2
WASP-34 b,WASP-34,437242640,4.31768000000,1.30000000,,5700.00,4.500000,0.910000,0.960000,0,CP,Transit,SuperWASP
HD 98649 b,HD 98649,437258837,5384.00000000000,,,,,,0.970000,0,CP,Radial Velocity,La Silla Observatory
Kepler-967 c,Kepler-967,120962548,198.71125020000,,8.5374000,5178.00,4.560000,0.800000,0.840000,0,CP,Transit,Kepler
Kepler-327 d,Kepler-327,63366281,13.96945700000,,1.4080000,3799.00,4.758000,0.492000,,0,CP,Transit,Kepler
WASP-93 b,WASP-93,240681314,2.73253210000,1.09700000,2.2344000,6700.00,4.197000,1.524000,1.334000,0,CP,Transit,SuperWASP
Kepler-1874 b,Kepler-1874,158219569,56.57320023000,,,4701.00,4.540000,0.775000,0.758000,0,CP,Transit,Kepler
TOI-2096 b,TOI-2096,142748283,3.11906330000,0.26600000,1.0720000,3300.00,5.050000,0.235000,0.231000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
CoRoT-28 b,CoRoT-28,106352250,5.20851000000,,5.7000000,5150.00,3.600000,1.780000,1.010000,0,CP,Transit,CoRoT
K2-275 c,K2-275,332022997,8.43883850000,,,4841.00,4.650000,0.690000,0.770000,0,CP,Transit,K2
TOI-5789 c,TOI-5789,87216634,12.92774800000,,2.0190000,5185.00,4.511000,0.833000,0.821000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
