tic_id,toi,ra,dec,period,depth_ppm,duration_hr,epoch_bjd,stellar_Teff,stellar_logg,stellar_rad,stellar_mass,tess_mag,planet_rad_earth,planet_snr,tfop_disposition,label,sectors
425934411,142.01,4.60586,-62.847875,0.85335340037026,25080.329069497,1.2018736837228,2458325.485901,3658.0,4.438,0.608075976371765,0.594628,14.7109,12.6007180262434,37.0026,PC,0,"1,2,28,29,68,69"
25375553,143.01,328.767739,-22.6126,2.3109688983569,6829.4236495138,3.4303820702944,2460155.87081,6371.0,3.94807,1.95411002635956,1.336,9.77486,17.3042800039326,189.12912,KP,0,"1,28,68"
261136679,144.01,84.29928,-80.464604,6.267832,321.0,2.789,2460011.550653,5950.0,4.438,1.15,1.1,5.1054,1.99779,53.0,CP,0,"1,4,8,11,12,13,27,28,31,34,38,39,61,62"
265612438,145.01,333.174716,-55.978803,5.13002,3376.0,4.78,2459060.6424,5430.7,4.4,1.58,0.97,11.6789,8.86428,22.0,PC,0,"1,27,28"
355636844,146.01,358.302034,-56.013252,6.30556,860.0,2.946,2459080.90325,,,,,10.7124,,17.0,FP,3,"1,2,28"
220435095,147.01,73.641474,-57.513453,3.423100173139,8643.1016454957,2.4377582605966,2460185.36556,5620.9,3.6,2.61261010169983,1.0,11.8999,35.4084056872344,147.44981,FP,3,"13,27,28,29,30,32,33,34,35,36,37,38,39,62,63,64,65,67,68,69"
393940766,148.01,338.320803,-38.159828,4.8670758049795,4965.8114653251,3.1883546238773,2459062.261122,5814.3,4.34,1.15,1.13,11.7835,8.219858087741455,20.184168,CP,0,"28,68"
260985861,149.01,76.635176,-80.768009,3.3399431764227,9074.0787832356,4.2534704091359,2458597.939863,5095.6,,,,10.8727,,117.076,PC,0,"11,12,13,27,28,38,39,61,62,65,66,67,68"
271893367,150.01,112.965421,-73.606036,5.8574075375973,6489.7302345787,5.8548029293452,2459995.645628,5982.9,4.03,1.6798700094223,1.1,10.9031,13.8892761532574,157.52177,CP,0,"9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,39,61,62"
382302241,151.01,83.349121,-58.745093,1.59782,1713.69,1.49,2458326.05013,5037.6,4.72,0.79,0.87,11.0264,3.59995,32.0,FP,3,1
