pl_name,hostname,tic_id,pl_orbper,pl_trandep,pl_trandur,st_teff,st_logg,st_rad,st_mass,discoverymethod,disc_facility,default_flag
"Kepler-48 b","Kepler-48","TIC 171882123",4.77800000000,,,5194.00,4.487000,0.890000,0.880000,"Transit","Kepler",1
"K2-224 c","K2-224","TIC 32425577",10.09489000000,0.05928000,3.6000000,5620.00,4.550000,0.840000,0.910000,"Transit","K2",1
"Kepler-47 d","Kepler-47","TIC 271548206",187.36600000000,,,,,0.936000,0.957000,"Transit","Kepler",1
"K2-293 b","K2-293","TIC 49679172",13.12250000000,,3.9800000,5532.00,4.520000,0.947000,0.958000,"Transit","K2",1
"K2-84 b","K2-84","TIC 434133930",6.42150000000,,2.8100000,5652.00,4.481000,0.930000,0.950000,"Transit","K2",1
"Kepler-522 b","Kepler-522","TIC 158657354",38.58422849000,,10.3683000,6392.00,4.040000,1.980000,1.540000,"Transit","Kepler",1
"Kepler-380 b","Kepler-380","TIC 48132154",3.93082100000,,2.9620000,6045.00,4.293000,1.224000,,"Transit","Kepler",1
"Kepler-286 d","Kepler-286","TIC 290035455",5.91432300000,,2.6550000,5580.00,4.495000,0.863000,,"Transit","Kepler",1
"Kepler-26 e","Kepler-26","TIC 164833065",46.82791500000,,2.0840000,4486.00,4.733000,0.571000,,"Transit","Kepler",1
"Kepler-838 b","Kepler-838","TIC 351909828",15.74957994000,,4.6942000,5770.00,4.460000,0.960000,0.980000,"Transit","Kepler",1
"TOI-1798.02","TOI-1798","TIC 198153540",0.43781182200,,1.2152000,5165.00,,0.780000,0.870000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"Kepler-1755 b","Kepler-1755","TIC 239225129",24.81209946000,,,6086.00,4.511000,0.921000,1.003000,"Transit","Kepler",1
"PDS 70 c","PDS 70","TIC 179413040",,,,4109.00,4.230000,,0.982000,"Imaging","European Southern Observatory",1
"HD 93385 c","HD 93385","TIC 106900981",13.18000000000,,,5977.00,4.420000,,1.040000,"Radial Velocity","La Silla Observatory",1
"Kepler-25 b","Kepler-25","TIC 120960812",6.23829700000,,,,,1.316000,1.165000,"Transit","Kepler",1
"K2-189 b","K2-189","TIC 422349881",2.58812000000,,,5442.00,4.510000,0.879000,0.850000,"Transit","K2",1
"Kepler-1171 b","Kepler-1171","TIC 138888759",1.44259224000,,3.0151000,7044.00,4.050000,1.950000,1.580000,"Transit","Kepler",1
"Kepler-375 b","Kepler-375","TIC 299032517",12.12593400000,,3.0400000,5826.00,4.567000,0.837000,,"Transit","Kepler",1
"Kepler-1457 b","Kepler-1457","TIC 164646534",51.11102430000,,7.9870000,5866.00,4.430000,1.010000,1.010000,"Transit","Kepler",1
"HR 858 b","HR 858","TIC 178155732",3.58528700000,0.02137000,2.7050000,6354.00,4.300000,1.258000,1.204000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"Kepler-447 b","Kepler-447","TIC 48506505",7.79430132000,,1.1350000,5493.00,4.400000,1.050000,1.000000,"Transit","Kepler",1
"TOI-1386 b","TOI-1386","TIC 343019899",25.84010000000,,5.6703771,5735.00,4.431000,1.023500,1.036300,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"HIP 77900 b","HIP 77900","TIC 24133681",,,,,,,,"Imaging","European Space Agency (ESA) Gaia Satellite",1
"Kepler-548 b","Kepler-548","TIC 269269546",4.45419433800,,2.3198000,5535.00,4.500000,0.900000,0.930000,"Transit","Kepler",1
"HD 224018 b","HD 224018","TIC 248608315",10.64130000000,,,5784.00,4.320000,1.147000,1.013000,"Radial Velocity","Roque de los Muchachos Observatory",1
"Kepler-1452 b","Kepler-1452","TIC 137635103",42.91375100000,,5.1210000,6101.00,3.950000,2.060000,1.410000,"Transit","Kepler",1
"Kepler-1158 b","Kepler-1158","TIC 137557778",13.53962930000,,4.3380000,6203.00,4.010000,1.950000,1.410000,"Transit","Kepler",1
"K2-111 c","K2-111","TIC 14227229",15.67480000000,,,5775.00,4.250000,1.250000,0.840000,"Radial Velocity","Multiple Observatories",1
"Kepler-692 b","Kepler-692","TIC 138728891",21.81293494000,,4.3891000,5440.00,4.530000,0.860000,0.900000,"Transit","Kepler",1
"Kepler-160 b","Kepler-160","TIC 158555483",4.30939700000,,,5471.00,,1.118000,,"Transit","Kepler",1
"WASP-4 b","WASP-4","TIC 402026209",1.33823099400,2.31200000,2.1664800,,4.472000,0.912000,0.899000,"Transit","SuperWASP",1
"K2-400 b","K2-400","TIC 345034874",3.86505300000,,,3578.00,4.847000,0.382000,0.374000,"Transit","K2",1
"Kepler-1159 b","Kepler-1159","TIC 270955277",22.70816791000,,3.6330000,6217.00,4.300000,1.280000,1.190000,"Transit","Kepler",1
"K2-63 c","K2-63","TIC 437699592",25.45560000000,,4.2400000,6771.00,4.150000,1.630000,1.400000,"Transit","K2",1
"HAT-P-38 b","HAT-P-38","TIC 285272237",4.64038200000,,3.0408000,5330.00,4.450000,0.923000,0.886000,"Transit","HATNet",1
"HD 10180 h","HD 10180","TIC 231836962",2205.00000000000,,,5911.00,4.390000,1.109000,1.060000,"Radial Velocity","La Silla Observatory",1
"Kepler-158 b","Kepler-158","TIC 120103325",16.70918400000,,2.7650000,4623.00,4.660000,0.624000,,"Transit","Kepler",1
"HU Aqr AB c","HU Aqr","TIC 364173220",4368.00000000000,,,,,,0.880000,"Eclipse Timing Variations","Yunnan Astronomical Observatory",1
"K2-229 c","K2-229","TIC 98720809",8.32727000000,0.05325000,2.5000000,5315.00,4.590000,0.790000,0.870000,"Transit","K2",1
"Kepler-1370 c","Kepler-1370","TIC 120253552",7.44142113000,,4.7310000,6202.00,4.290000,1.290000,1.190000,"Transit","Kepler",1
"LSPM J2116+0234 b","LSPM J2116+0234","TIC 387518186",14.43990000000,,,3475.00,4.950000,0.431000,0.430000,"Radial Velocity","Calar Alto Observatory",1
